id,player_name,player_api_id,birthday
1,"Aaron Appindangoye",505942,"1992-02-29 00:00:00"
2,"Aaron Cresswell",155782,"1989-12-15 00:00:00"
3,"Aaron Doran",162549,"1991-05-13 00:00:00"
4,"Aaron Galindo",30572,"1982-05-08 00:00:00"
5,"Aaron Hughes",23780,"1979-11-08 00:00:00"
6,"Aaron Hunt",27316,"1986-09-04 00:00:00"
7,"Aaron Kuhl",564793,"1996-01-30 00:00:00"
8,"Aaron Lennon",30895,"1987-04-16 00:00:00"
9,"Aaron Lennox",528212,"1993-02-19 00:00:00"
10,"Aaron Meijers",101042,"1987-10-28 00:00:00"
11,"Aaron Mokoena",23889,"1980-11-25 00:00:00"
12,"Aaron Mooy",231592,"1990-09-15 00:00:00"
13,"Aaron Muirhead",163222,"1990-08-30 00:00:00"
14,"Aaron Niguez",40719,"1989-04-26 00:00:00"
15,"Aaron Ramsey",75489,"1990-12-26 00:00:00"
16,"Aaron Splaine",597948,"1996-10-13 00:00:00"
17,"Aaron Taylor-Sinclair",161644,"1991-04-08 00:00:00"
18,"Aaron Wilbraham",23499,"1979-10-21 00:00:00"
19,"Aatif Chahechouhe",120919,"1986-07-02 00:00:00"
20,"Abasse Ba",46447,"1976-07-12 00:00:00"
21,"Abdelaziz Barrada",167027,"1989-06-19 00:00:00"
22,"Abdelfettah Boukhriss",245653,"1986-10-22 00:00:00"
23,"Abdelhamid El Kaoutari",128456,"1990-03-17 00:00:00"
24,"Abdelkader Ghezzal",42664,"1984-12-05 00:00:00"
25,"Abdellah Zoubir",425950,"1991-12-05 00:00:00"
26,"Abdelmajid Oulmers",38423,"1978-09-12 00:00:00"
27,"Abdelmalek Cherrad",3264,"1981-01-14 00:00:00"
28,"Abdelmalek El Hasnaoui",467485,"1994-02-09 00:00:00"
29,"Abdelouahed Chakhsi",306735,"1986-10-01 00:00:00"
30,"Abderrazak Jadid",41659,"1983-06-01 00:00:00"
31,"Abdeslam Ouaddou",31684,"1978-11-01 00:00:00"
32,"Abdessalam Benjelloun",32637,"1985-01-28 00:00:00"
33,"Abdou Diallo",563215,"1996-05-04 00:00:00"
34,"Abdou Traore",41093,"1988-01-17 00:00:00"
35,"Abdoul Ba",564712,"1994-02-08 00:00:00"
36,"Abdoul Karim Yoda",67334,"1988-10-25 00:00:00"
37,"Abdoul Razzagui Camara",173955,"1990-02-20 00:00:00"
38,"Abdoulay Konko",39562,"1984-03-09 00:00:00"
39,"Abdoulaye Ba",191784,"1991-01-01 00:00:00"
40,"Abdoulaye Bamba",210400,"1990-04-25 00:00:00"
41,"Abdoulaye Diaby",201915,"1991-05-21 00:00:00"
42,"Abdoulaye Diallo Sadio,22",194479,"1990-12-28 00:00:00"
43,"Abdoulaye Diallo",189181,"1992-03-30 00:00:00"
44,"Abdoulaye Doucoure",352887,"1993-01-01 00:00:00"
45,"Abdoulaye Faye",40005,"1978-02-26 00:00:00"
46,"Abdoulaye Keita",409003,"1994-01-05 00:00:00"
47,"Abdoulaye Meite",37280,"1980-10-06 00:00:00"
48,"Abdoulaye Toure",439366,"1994-03-03 00:00:00"
49,"Abdoulwahid Sissoko",148827,"1990-03-20 00:00:00"
50,"Abdourahman Dampha",173011,"1991-12-27 00:00:00"
51,"Abdul Aziz Tetteh",419681,"1989-02-10 00:00:00"
52,"Abdul Majeed Waris",196947,"1991-09-19 00:00:00"
53,"Abdul Osman",89405,"1987-02-27 00:00:00"
54,"Abdul Rahman Baba",324910,"1994-07-02 00:00:00"
55,"Abdul-Yakinu Iddi",67952,"1986-05-25 00:00:00"
56,"Abdulkader Keita",31012,"1981-08-06 00:00:00"
57,"Abdulla Fatadi",176301,"1985-11-02 00:00:00"
58,"Abdullah Al Hafith",307227,"1992-12-25 00:00:00"
59,"Abdullah Omar",176302,"1987-01-01 00:00:00"
60,"Abdullahi Shehu",525595,"1993-03-12 00:00:00"
61,"Abel Aguilar",24385,"1985-01-06 00:00:00"
62,"Abel Gomez",29904,"1982-02-20 00:00:00"
63,"Abel Hernandez",105548,"1990-08-08 00:00:00"
64,"Abel Issa Camara",172875,"1990-01-06 00:00:00"
65,"Abel Khaled",302985,"1992-11-09 00:00:00"
66,"Abel Tamata",240556,"1990-12-05 00:00:00"
67,Abel,40938,"1978-12-22 00:00:00"
68,"Abella Perez Damia",37422,"1982-04-15 00:00:00"
69,"Abiola Dauda",114503,"1988-02-03 00:00:00"
70,"Abou Diaby",27277,"1986-05-11 00:00:00"
71,"Aboubacar Tandia",181344,"1983-10-05 00:00:00"
72,"Aboubakar Kamara",581141,"1995-03-07 00:00:00"
73,"Aboubakar Oumarou",80592,"1987-04-01 00:00:00"
74,"Abraham Gonzalez",165706,"1985-07-16 00:00:00"
75,"Abraham Guie Gneki",210453,"1986-07-25 00:00:00"
76,"Abraham Kudemor",208635,"1985-02-25 00:00:00"
77,"Abraham Minero",213695,"1986-02-22 00:00:00"
78,"Abraham Paz Cruz",33715,"1979-03-14 00:00:00"
79,"Achille Coser",41489,"1982-07-14 00:00:00"
80,"Achille Emana",25571,"1982-06-05 00:00:00"
81,"Achille Vaarnold",660145,"1996-01-26 00:00:00"
82,"Achmed Ahahaoui",45960,"1983-12-06 00:00:00"
83,"Achraf Lazaar",293235,"1992-09-22 00:00:00"
84,"Aco Stojkov",34487,"1983-04-29 00:00:00"
85,Adailton,26331,"1983-04-14 00:00:00"
86,Adailton,41749,"1977-01-24 00:00:00"
87,"Adalberto Penaranda",495841,"1997-05-31 00:00:00"
88,"Adam Armstrong",519835,"1997-02-10 00:00:00"
